CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker
less_0,4,credits_paid_to_date,car_used,1846,less_100,4_to_7,3,male,none,3,car_other,19,none,own,1,skilled,1,none,yes
no_checking,25,prior_payments_delayed,appliances,5551,100_to_500,1_to_4,4,female,co-applicant,4,savings_insurance,43,none,own,2,skilled,1,yes,yes
no_checking,46,outstanding_credit,repairs,6974,500_to_1000,greater_7,4,male,co-applicant,4,car_other,44,none,free,2,skilled,1,yes,yes
less_0,11,no_credits,car_new,250,less_100,unemployed,1,female,none,1,real_estate,21,none,rent,1,skilled,1,none,yes
0_to_200,6,no_credits,car_new,250,less_100,1_to_4,2,male,none,1,real_estate,28,none,own,1,skilled,1,none,yes
0_to_200,15,credits_paid_to_date,car_used,5725,less_100,unemployed,3,male,none,4,car_other,26,none,own,2,management_self-employed,1,none,yes
no_checking,8,credits_paid_to_date,furniture,5051,less_100,1_to_4,3,male,none,4,car_other,38,none,own,1,management_self-employed,1,none,yes
less_0,13,prior_payments_delayed,car_used,1793,less_100,1_to_4,2,male,none,1,savings_insurance,41,stores,own,1,skilled,1,none,yes
greater_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,female,none,3,real_estate,21,stores,rent,1,unskilled,1,none,yes
no_checking,29,prior_payments_delayed,appliances,5384,100_to_500,4_to_7,4,female,none,4,savings_insurance,46,none,own,2,skilled,1,yes,no
less_0,4,all_credits_paid_back,car_new,250,100_to_500,less_1,2,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes
0_to_200,25,credits_paid_to_date,vacation,4589,less_100,1_to_4,4,female,none,3,car_other,48,none,own,1,skilled,1,yes,no
less_0,10,all_credits_paid_back,car_new,250,500_to_1000,less_1,1,female,none,2,real_estate,32,bank,rent,1,unemployed,2,none,yes
no_checking,45,prior_payments_delayed,vacation,6758,500_to_1000,4_to_7,5,male,none,4,unknown,44,none,free,2,skilled,1,yes,yes
no_checking,33,prior_payments_delayed,repairs,7777,100_to_500,greater_7,5,male,none,5,car_other,48,none,free,2,skilled,1,yes,yes
no_checking,30,prior_payments_delayed,radio_tv,7092,100_to_500,less_1,2,male,none,3,car_other,39,stores,own,1,unskilled,1,none,yes
greater_200,19,prior_payments_delayed,car_new,465,100_to_500,1_to_4,3,male,none,3,real_estate,30,none,own,1,management_self-employed,1,none,yes
0_to_200,15,credits_paid_to_date,car_new,2333,500_to_1000,4_to_7,3,female,none,1,car_other,35,none,own,1,skilled,1,none,yes
less_0,5,prior_payments_delayed,car_new,5311,less_100,less_1,2,male,none,1,car_other,38,bank,rent,2,unskilled,1,yes,yes
no_checking,33,all_credits_paid_back,car_used,4256,100_to_500,4_to_7,3,male,none,2,savings_insurance,38,none,own,1,skilled,1,none,yes
0_to_200,4,credits_paid_to_date,car_new,250,less_100,1_to_4,2,male,none,2,savings_insurance,31,none,own,2,skilled,2,none,yes
no_checking,32,outstanding_credit,furniture,6133,500_to_1000,1_to_4,4,male,none,3,unknown,56,none,free,2,skilled,2,yes,yes
0_to_200,16,prior_payments_delayed,radio_tv,2596,100_to_500,greater_7,3,female,none,1,savings_insurance,37,stores,free,1,skilled,1,none,yes
no_checking,37,prior_payments_delayed,vacation,9464,100_to_500,4_to_7,5,male,none,4,car_other,47,none,own,2,management_self-employed,1,none,yes
less_0,12,all_credits_paid_back,furniture,250,less_100,unemployed,1,female,none,1,real_estate,33,none,rent,1,skilled,1,none,yes
less_0,11,all_credits_paid_back,car_new,250,less_100,less_1,2,female,none,1,savings_insurance,20,none,own,1,skilled,1,none,yes
0_to_200,22,outstanding_credit,radio_tv,5620,greater_1000,greater_7,4,male,none,3,car_other,29,none,own,2,skilled,1,none,yes
less_0,22,credits_paid_to_date,retraining,1185,less_100,1_to_4,1,female,none,2,real_estate,26,bank,rent,1,unskilled,1,none,yes
no_checking,40,prior_payments_delayed,education,2721,500_to_1000,4_to_7,4,male,none,3,car_other,35,bank,own,2,unskilled,1,yes,yes
less_0,17,prior_payments_delayed,repairs,3423,100_to_500,greater_7,4,male,none,3,savings_insurance,35,none,rent,1,skilled,1,none,yes
no_checking,34,prior_payments_delayed,furniture,2066,greater_1000,greater_7,4,male,none,4,savings_insurance,35,none,own,1,skilled,1,yes,yes
no_checking,39,prior_payments_delayed,radio_tv,6147,greater_1000,greater_7,5,male,co-applicant,5,unknown,52,none,own,2,skilled,1,yes,yes
0_to_200,7,all_credits_paid_back,car_new,1584,500_to_1000,less_1,3,male,none,3,savings_insurance,32,none,own,2,skilled,1,none,yes
less_0,33,outstanding_credit,appliances,6477,greater_1000,4_to_7,4,male,none,4,car_other,31,none,own,2,skilled,1,none,yes
0_to_200,26,outstanding_credit,car_used,2402,100_to_500,greater_7,2,male,none,3,car_other,38,bank,own,2,unemployed,1,yes,no
no_checking,27,prior_payments_delayed,radio_tv,7742,500_to_1000,1_to_4,3,male,none,2,car_other,41,none,own,2,skilled,1,none,yes
no_checking,33,prior_payments_delayed,vacation,5328,500_to_1000,4_to_7,3,male,none,3,car_other,35,none,own,1,skilled,1,none,yes
no_checking,34,prior_payments_delayed,radio_tv,5970,500_to_1000,4_to_7,3,male,none,2,car_other,41,none,own,2,management_self-employed,1,none,yes
0_to_200,31,credits_paid_to_date,radio_tv,350,100_to_500,1_to_4,3,male,co-applicant,3,real_estate,30,none,own,1,skilled,1,none,yes
greater_200,21,credits_paid_to_date,radio_tv,4116,less_100,1_to_4,3,female,none,2,car_other,42,none,own,2,skilled,1,none,yes
no_checking,14,credits_paid_to_date,furniture,2932,100_to_500,less_1,3,female,none,3,real_estate,39,none,rent,1,management_self-employed,1,none,yes
0_to_200,32,credits_paid_to_date,car_used,4597,greater_1000,4_to_7,3,male,guarantor,3,savings_insurance,45,stores,own,1,unskilled,1,yes,yes
0_to_200,20,credits_paid_to_date,car_used,250,less_100,unemployed,1,female,none,1,savings_insurance,26,stores,own,1,skilled,1,none,yes
no_checking,27,prior_payments_delayed,car_used,4574,100_to_500,greater_7,4,male,none,4,car_other,55,none,own,2,skilled,1,yes,yes
no_checking,42,outstanding_credit,other,6945,greater_1000,4_to_7,5,male,none,4,unknown,37,none,own,2,management_self-employed,1,yes,yes
no_checking,26,outstanding_credit,business,8612,500_to_1000,greater_7,5,male,none,5,car_other,46,none,own,2,management_self-employed,1,none,yes
0_to_200,18,credits_paid_to_date,retraining,688,less_100,1_to_4,1,female,none,2,real_estate,26,none,rent,1,skilled,1,none,yes
no_checking,39,outstanding_credit,repairs,8901,greater_1000,greater_7,4,female,co-applicant,5,unknown,51,none,free,2,skilled,2,yes,yes
0_to_200,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,female,none,1,real_estate,29,none,own,1,skilled,1,none,yes
less_0,35,outstanding_credit,other,4427,100_to_500,greater_7,4,female,none,3,car_other,36,none,own,2,skilled,2,none,yes
no_checking,51,outstanding_credit,education,3458,unknown,greater_7,4,male,co-applicant,3,car_other,50,none,own,2,skilled,2,yes,yes
no_checking,26,prior_payments_delayed,radio_tv,6265,100_to_500,1_to_4,4,male,none,4,car_other,44,none,own,2,management_self-employed,1,yes,yes
less_0,6,prior_payments_delayed,car_new,250,500_to_1000,less_1,1,male,none,2,savings_insurance,24,stores,rent,1,skilled,1,none,yes
no_checking,34,prior_payments_delayed,radio_tv,6096,500_to_1000,less_1,4,male,none,3,unknown,58,none,free,3,management_self-employed,2,yes,yes
no_checking,11,credits_paid_to_date,car_new,5830,less_100,1_to_4,4,male,none,2,car_other,38,none,own,1,management_self-employed,2,yes,yes
no_checking,36,outstanding_credit,appliances,6110,greater_1000,greater_7,4,male,co-applicant,5,unknown,53,none,free,2,skilled,2,yes,yes
less_0,4,all_credits_paid_back,car_new,250,100_to_500,less_1,1,male,none,1,savings_insurance,19,none,rent,1,skilled,1,none,yes
no_checking,44,prior_payments_delayed,radio_tv,6315,500_to_1000,4_to_7,5,female,none,4,unknown,55,none,free,2,skilled,1,none,yes
no_checking,38,outstanding_credit,radio_tv,4187,greater_1000,4_to_7,3,male,none,4,savings_insurance,37,none,own,2,skilled,1,yes,yes
no_checking,33,prior_payments_delayed,appliances,5823,500_to_1000,1_to_4,4,female,none,3,car_other,46,none,own,1,skilled,1,none,yes
0_to_200,9,all_credits_paid_back,vacation,2452,less_100,less_1,2,female,none,1,savings_insurance,29,none,own,1,skilled,1,none,yes
less_0,9,all_credits_paid_back,car_used,3534,less_100,unemployed,1,male,none,2,savings_insurance,28,none,own,1,skilled,1,none,yes
no_checking,8,credits_paid_to_date,car_used,437,greater_1000,4_to_7,2,male,none,2,savings_insurance,56,none,rent,1,skilled,1,none,yes
0_to_200,21,credits_paid_to_date,furniture,3893,less_100,less_1,3,male,none,2,car_other,28,none,own,2,skilled,1,yes,yes
less_0,4,all_credits_paid_back,car_new,269,less_100,unemployed,2,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes
greater_200,26,credits_paid_to_date,radio_tv,5013,100_to_500,1_to_4,4,male,none,3,car_other,36,none,free,2,skilled,1,none,yes
no_checking,46,outstanding_credit,other,5501,greater_1000,4_to_7,5,male,none,5,savings_insurance,45,none,own,2,skilled,2,yes,yes
0_to_200,32,outstanding_credit,vacation,4272,unknown,4_to_7,4,male,none,4,unknown,36,none,own,2,skilled,1,yes,yes
0_to_200,16,no_credits,car_new,250,less_100,unemployed,2,male,none,3,real_estate,33,none,own,1,skilled,1,yes,yes
less_0,12,prior_payments_delayed,repairs,2214,less_100,1_to_4,3,male,none,2,car_other,28,none,own,1,management_self-employed,1,yes,yes
no_checking,41,prior_payments_delayed,furniture,2535,500_to_1000,greater_7,4,male,none,4,savings_insurance,35,none,own,1,skilled,2,yes,no
less_0,23,credits_paid_to_date,radio_tv,2467,less_100,4_to_7,3,male,none,3,real_estate,26,stores,own,1,unskilled,1,yes,yes
no_checking,18,credits_paid_to_date,car_new,1433,greater_1000,1_to_4,3,female,none,4,car_other,36,bank,own,1,unemployed,1,none,yes
0_to_200,26,all_credits_paid_back,furniture,3662,less_100,unemployed,3,female,none,1,real_estate,24,none,own,1,skilled,1,none,yes
0_to_200,4,all_credits_paid_back,car_new,250,100_to_500,less_1,1,female,none,3,real_estate,34,none,rent,1,skilled,1,none,yes
less_0,22,prior_payments_delayed,retraining,3655,less_100,1_to_4,3,male,none,2,car_other,31,stores,own,1,unskilled,1,yes,yes
less_0,4,prior_payments_delayed,car_used,250,less_100,4_to_7,3,male,none,1,savings_insurance,31,stores,own,1,skilled,1,none,yes
less_0,12,all_credits_paid_back,car_new,250,less_100,1_to_4,2,male,none,1,real_estate,34,stores,own,1,skilled,1,none,yes
0_to_200,29,prior_payments_delayed,appliances,896,100_to_500,4_to_7,3,female,none,3,savings_insurance,33,none,own,2,skilled,1,none,yes
greater_200,23,credits_paid_to_date,radio_tv,3131,100_to_500,1_to_4,2,male,none,2,car_other,33,bank,own,1,unskilled,1,none,yes
less_0,11,prior_payments_delayed,furniture,1540,less_100,less_1,2,male,none,1,car_other,27,none,own,1,skilled,1,yes,yes
0_to_200,20,credits_paid_to_date,car_used,1500,less_100,4_to_7,3,male,none,3,savings_insurance,33,none,own,2,skilled,1,none,yes
no_checking,13,credits_paid_to_date,furniture,4516,greater_1000,less_1,3,male,none,3,car_other,32,none,own,2,skilled,1,none,yes
no_checking,26,prior_payments_delayed,furniture,5285,100_to_500,1_to_4,3,male,none,4,car_other,37,none,own,1,management_self-employed,1,none,yes
less_0,7,all_credits_paid_back,car_new,250,less_100,less_1,2,female,none,3,savings_insurance,19,bank,rent,1,unskilled,1,none,yes
no_checking,29,outstanding_credit,appliances,5401,500_to_1000,greater_7,4,male,co-applicant,3,savings_insurance,51,none,free,2,skilled,1,yes,yes
no_checking,16,credits_paid_to_date,retraining,6962,less_100,4_to_7,3,male,none,4,savings_insurance,44,stores,own,1,unskilled,1,yes,yes
less_0,17,prior_payments_delayed,radio_tv,4472,less_100,4_to_7,3,male,none,3,car_other,46,none,own,1,skilled,1,none,yes
no_checking,15,outstanding_credit,radio_tv,1835,100_to_500,4_to_7,4,male,guarantor,4,real_estate,47,stores,free,1,unskilled,1,yes,yes
no_checking,44,outstanding_credit,business,7562,unknown,greater_7,6,male,co-applicant,5,car_other,55,stores,own,2,unskilled,2,yes,yes
0_to_200,12,credits_paid_to_date,vacation,250,less_100,1_to_4,3,female,none,2,real_estate,22,none,own,1,skilled,1,none,yes
greater_200,26,credits_paid_to_date,education,4630,100_to_500,1_to_4,4,male,none,3,car_other,43,bank,own,1,unskilled,1,yes,yes
greater_200,4,all_credits_paid_back,car_used,250,less_100,less_1,2,female,none,2,real_estate,22,none,own,1,management_self-employed,1,none,yes
no_checking,29,outstanding_credit,appliances,6096,500_to_1000,4_to_7,4,male,none,3,unknown,45,none,free,2,skilled,1,yes,yes
no_checking,16,credits_paid_to_date,radio_tv,4445,500_to_1000,greater_7,3,male,none,2,car_other,27,none,own,1,skilled,1,none,yes
0_to_200,21,credits_paid_to_date,furniture,2893,less_100,1_to_4,2,male,none,2,car_other,34,none,own,2,skilled,1,yes,yes
0_to_200,21,outstanding_credit,car_used,3056,500_to_1000,1_to_4,2,female,none,2,savings_insurance,41,stores,own,1,skilled,2,yes,yes
no_checking,25,prior_payments_delayed,radio_tv,3983,100_to_500,1_to_4,3,male,none,3,real_estate,35,none,own,1,management_self-employed,2,yes,yes
no_checking,8,prior_payments_delayed,car_new,6418,500_to_1000,1_to_4,2,female,co-applicant,4,savings_insurance,58,none,free,2,skilled,1,yes,yes
less_0,11,credits_paid_to_date,furniture,644,less_100,1_to_4,1,female,none,2,savings_insurance,30,stores,own,1,skilled,1,yes,yes
